corporateID,corporateType,corporateName,corporateKana,location,moddate,classSInfo
3210005008213,http://imi.go.jp/ns/code_id/code/kind#399,神明社,,福井県鯖江市水落町８１号１番地,2015-11-12T15:00:00.000Z,01
4000020182079,http://imi.go.jp/ns/code_id/code/kind#201,鯖江市,サバエシ,福井県鯖江市西山町１３－１,2018-04-02T15:00:00.000Z,01
4210005008071,http://imi.go.jp/ns/code_id/code/kind#399,鯖江商工会議所,サバエ,福井県鯖江市本町３丁目２番１２号,2020-01-13T15:00:00.000Z,01
4210005008187,http://imi.go.jp/ns/code_id/code/kind#399,妙好庵,,福井県鯖江市下河端町６８号５８番地,2015-11-12T15:00:00.000Z,01
4700150086954,http://imi.go.jp/ns/code_id/code/kind#499,防災士ネットワークさばえ,ボウサイシネツトワークサバエ,福井県鯖江市横江町１丁目７－２０－４,2021-07-08T15:00:00.000Z,12
6210005008128,http://imi.go.jp/ns/code_id/code/kind#399,真宗山元派,,福井県鯖江市横越町第１３号４３番地,2015-11-12T15:00:00.000Z,01
6700150050421,http://imi.go.jp/ns/code_id/code/kind#499,西大井を美しくする会,ニシオオイヲウツクシクスルカイ,福井県鯖江市西大井町１８－１,2018-06-13T15:00:00.000Z,01
6700150067696,http://imi.go.jp/ns/code_id/code/kind#499,めがねのまち鯖江元気再生協議会,メガネノマチサバエゲンキサイセイキヨウギカイ,福井県鯖江市西山町１３－１,2018-06-14T15:00:00.000Z,01
8210005008126,http://imi.go.jp/ns/code_id/code/kind#399,エホバの証人の鯖江会衆,エホバノショウニンノサバエカイシュウ,福井県鯖江市北野町１２字神田１９番地,2021-04-12T15:00:00.000Z,71
9210005008091,http://imi.go.jp/ns/code_id/code/kind#399,上野別堂,,福井県鯖江市東鯖江上山１番地,2015-11-12T15:00:00.000Z,01
