name,label,description
101,国の機関,行政機関、裁判所及び国会の機関に係る情報であることを意味する。
201,地方公共団体,地方自治法第１条の３において定義されている普通地方公共団体及び特別地方公共団体に係る情報であることを意味する。
301,株式会社,株式会社の情報であることを意味する。
302,有限会社,特例有限会社の情報であることを意味する。
303,合名会社,合名会社の情報であることを意味する。
304,合資会社,合資会社の情報であることを意味する。
305,合同会社,合同会社の情報であることを意味する。
399,その他の設立登記法人,その他の設立登記法人 株式会社（301）、有限会社（302）、合名会社（303）、合資会社（304）及び合同会社（305）以外の法令の規定により設立の登記をすることによって
成立する法人の情報であることを意味する。
401,外国会社等,外国、外国の行政区画及び外国会社並びに法律又は条約の規定により認許された外国法人の情報であることを意味する。
499,その他,上記以外の人格のない社団等及び日本の法律の規定により成立し、設立の登記を行わない法人の情報であることを意味する。
